Sun Sep 11 19:18:00 2022,56 25.8
Sun Sep 11 19:18:10 2022,56 25.8
Sun Sep 11 19:18:20 2022,55 25.8
Sun Sep 11 19:18:30 2022,55 25.8
Sun Sep 11 19:18:40 2022,54 25.8
Sun Sep 11 19:18:50 2022,54 25.8
Sun Sep 11 19:19:00 2022,54 25.8
Sun Sep 11 19:19:10 2022,54 25.3
Sun Sep 11 19:19:20 2022,54 25.3
Sun Sep 11 19:19:30 2022,54 25.3
Sun Sep 11 19:19:40 2022,54 25.3
Sun Sep 11 19:19:50 2022,54 25.3
Sun Sep 11 19:20:00 2022,54 25.3
Sun Sep 11 19:20:10 2022,54 25.3
Sun Sep 11 19:20:20 2022,54 25.3
Sun Sep 11 19:20:30 2022,54 25.3
Sun Sep 11 19:20:40 2022,54 25.3
Sun Sep 11 19:20:50 2022,54 25.3
Sun Sep 11 19:21:00 2022,54 25.3
Sun Sep 11 19:21:10 2022,54 25.3
Sun Sep 11 19:21:20 2022,54 25.3
Sun Sep 11 19:21:30 2022,54 25.3
Sun Sep 11 19:21:40 2022,54 25.3
Sun Sep 11 19:21:50 2022,55 25.3
Sun Sep 11 19:22:00 2022,55 25.3
Sun Sep 11 19:22:10 2022,55 25.3
Sun Sep 11 19:22:20 2022,55 25.3
Sun Sep 11 19:22:30 2022,55 25.3
Sun Sep 11 19:22:40 2022,56 25.3
Sun Sep 11 19:22:50 2022,56 25.3
Sun Sep 11 19:23:00 2022,56 25.3
Sun Sep 11 19:23:10 2022,56 25.3
Sun Sep 11 19:23:20 2022,56 25.3
Sun Sep 11 19:23:30 2022,56 25.3
Sun Sep 11 19:23:40 2022,56 25.3
Sun Sep 11 19:23:50 2022,55 25.3
Sun Sep 11 19:24:00 2022,55 25.3
Sun Sep 11 19:24:10 2022,55 25.3
Sun Sep 11 19:24:20 2022,55 25.3
Sun Sep 11 19:24:30 2022,55 25.3
Sun Sep 11 19:24:40 2022,54 25.3
Sun Sep 11 19:24:50 2022,54 25.3
Sun Sep 11 19:25:00 2022,54 25.3
Sun Sep 11 19:25:10 2022,54 25.3
Sun Sep 11 19:25:20 2022,55 25.3
Sun Sep 11 19:25:30 2022,56 25.3
Sun Sep 11 19:25:40 2022,56 25.3
Sun Sep 11 19:25:50 2022,56 25.3
Sun Sep 11 19:26:00 2022,56 25.3
Sun Sep 11 19:26:10 2022,55 25.3
Sun Sep 11 19:26:20 2022,55 25.3
Sun Sep 11 19:26:30 2022,55 25.3
Sun Sep 11 19:26:40 2022,54 25.3
Sun Sep 11 19:26:50 2022,54 25.3
Sun Sep 11 19:27:00 2022,54 25.3
Sun Sep 11 19:27:10 2022,54 25.3
Sun Sep 11 19:27:20 2022,55 25.3
Sun Sep 11 19:27:30 2022,55 25.3
Sun Sep 11 19:27:40 2022,55 25.3
Sun Sep 11 19:27:50 2022,56 25.3
Sun Sep 11 19:28:00 2022,56 25.3
Sun Sep 11 19:28:10 2022,57 25.3
Sun Sep 11 19:28:20 2022,56 25.3
Sun Sep 11 19:28:30 2022,56 25.3
Sun Sep 11 19:28:40 2022,56 25.3
Sun Sep 11 19:28:50 2022,55 25.3
Sun Sep 11 19:29:00 2022,56 25.3
Sun Sep 11 19:29:10 2022,56 25.3
Sun Sep 11 19:29:20 2022,56 25.3
Sun Sep 11 19:29:30 2022,57 25.3
Sun Sep 11 19:29:40 2022,58 25.8
Sun Sep 11 19:29:50 2022,58 25.8
Sun Sep 11 19:30:00 2022,58 25.8
Sun Sep 11 19:30:10 2022,59 25.8
Sun Sep 11 19:30:20 2022,59 25.8
Sun Sep 11 19:30:30 2022,58 25.8
Sun Sep 11 19:30:40 2022,57 25.8
Sun Sep 11 19:30:50 2022,56 25.8
Sun Sep 11 19:31:00 2022,56 25.8
Sun Sep 11 19:31:10 2022,56 25.8
Sun Sep 11 19:31:20 2022,55 25.8
Sun Sep 11 19:31:30 2022,55 25.8
Sun Sep 11 19:31:40 2022,55 25.8
Sun Sep 11 19:31:50 2022,54 25.8
Sun Sep 11 19:32:00 2022,54 25.8
Sun Sep 11 19:32:10 2022,55 25.8
Sun Sep 11 19:32:20 2022,54 25.8
Sun Sep 11 19:32:30 2022,54 25.8
Sun Sep 11 19:32:40 2022,54 25.8
Sun Sep 11 19:32:50 2022,54 25.8
Sun Sep 11 19:33:00 2022,54 25.8
Sun Sep 11 19:33:10 2022,54 25.8
Sun Sep 11 19:33:20 2022,54 25.8
Sun Sep 11 19:33:30 2022,54 25.8
Sun Sep 11 19:33:40 2022,53 25.8
Sun Sep 11 19:33:50 2022,53 25.8
Sun Sep 11 19:34:00 2022,53 25.8
Sun Sep 11 19:34:10 2022,53 25.8
Sun Sep 11 19:34:20 2022,53 25.8
Sun Sep 11 19:34:30 2022,53 25.8
Sun Sep 11 19:34:40 2022,53 25.8
Sun Sep 11 19:34:50 2022,53 25.8
Sun Sep 11 19:35:00 2022,53 25.8
Sun Sep 11 19:35:10 2022,53 25.8
Sun Sep 11 19:35:20 2022,53 25.8
Sun Sep 11 19:35:30 2022,53 25.8
Sun Sep 11 19:35:40 2022,54 25.8
Sun Sep 11 19:35:50 2022,54 25.8
Sun Sep 11 19:36:00 2022,54 25.8
Sun Sep 11 19:36:10 2022,54 25.8
Sun Sep 11 19:36:20 2022,54 25.8
Sun Sep 11 19:36:30 2022,54 25.8
Sun Sep 11 19:36:40 2022,54 25.8
Sun Sep 11 19:36:50 2022,55 25.8
Sun Sep 11 19:37:00 2022,55 25.8
Sun Sep 11 19:37:10 2022,54 25.8
Sun Sep 11 19:37:20 2022,54 25.8
Sun Sep 11 19:37:30 2022,54 25.8
Sun Sep 11 19:37:40 2022,54 25.8
Sun Sep 11 19:37:50 2022,54 25.8
Sun Sep 11 19:38:00 2022,54 25.8
Sun Sep 11 19:38:10 2022,54 25.8
Sun Sep 11 19:38:20 2022,54 25.8
Sun Sep 11 19:38:30 2022,53 25.8
Sun Sep 11 19:38:40 2022,53 25.8
Sun Sep 11 19:38:50 2022,54 25.8
Sun Sep 11 19:39:00 2022,54 25.8
Sun Sep 11 19:39:10 2022,54 25.8
Sun Sep 11 19:39:20 2022,54 25.8
Sun Sep 11 19:39:30 2022,54 25.8
Sun Sep 11 19:39:40 2022,53 25.8
Sun Sep 11 19:39:50 2022,53 25.8
Sun Sep 11 19:40:00 2022,53 25.8
Sun Sep 11 19:40:10 2022,54 25.8
Sun Sep 11 19:40:20 2022,53 25.8
Sun Sep 11 19:40:30 2022,53 25.8
Sun Sep 11 19:40:40 2022,53 25.8
Sun Sep 11 19:40:50 2022,53 25.8
Sun Sep 11 19:41:00 2022,53 25.8
Sun Sep 11 19:41:10 2022,54 25.8
Sun Sep 11 19:41:20 2022,54 25.8
Sun Sep 11 19:41:30 2022,53 25.8
Sun Sep 11 19:41:40 2022,53 25.8
Sun Sep 11 19:41:50 2022,53 25.8
Sun Sep 11 19:42:00 2022,53 25.8
Sun Sep 11 19:42:10 2022,54 25.8
Sun Sep 11 19:42:20 2022,54 25.8
Sun Sep 11 19:42:30 2022,54 25.8
Sun Sep 11 19:42:40 2022,54 25.8
Sun Sep 11 19:42:50 2022,54 25.8
Sun Sep 11 19:43:00 2022,54 25.8
Sun Sep 11 19:43:10 2022,55 25.8
Sun Sep 11 19:43:20 2022,55 25.8
Sun Sep 11 19:43:30 2022,55 25.8
Sun Sep 11 19:43:40 2022,55 25.5
Sun Sep 11 19:43:50 2022,54 25.3
Sun Sep 11 19:44:00 2022,54 25.3
Sun Sep 11 19:44:10 2022,55 25.3
Sun Sep 11 19:44:20 2022,55 25.8
Sun Sep 11 19:44:30 2022,55 25.8
Sun Sep 11 19:44:40 2022,55 25.8
Sun Sep 11 19:44:50 2022,55 25.8
Sun Sep 11 19:45:00 2022,55 25.8
Sun Sep 11 19:45:10 2022,54 25.8
Sun Sep 11 19:45:20 2022,54 25.8
Sun Sep 11 19:45:30 2022,54 25.8
Sun Sep 11 19:45:40 2022,54 25.8
Sun Sep 11 19:45:50 2022,54 25.8
Sun Sep 11 19:46:00 2022,54 25.8
Sun Sep 11 19:46:10 2022,54 25.8
Sun Sep 11 19:46:20 2022,54 25.8
Sun Sep 11 19:46:30 2022,54 25.8
Sun Sep 11 19:46:40 2022,54 25.8
Sun Sep 11 19:46:50 2022,53 25.8
Sun Sep 11 19:47:00 2022,54 25.8
Sun Sep 11 19:47:10 2022,54 25.8
Sun Sep 11 19:47:20 2022,54 25.8
Sun Sep 11 19:47:30 2022,54 25.8
Sun Sep 11 19:47:40 2022,54 25.8
Sun Sep 11 19:47:50 2022,54 25.8
Sun Sep 11 19:48:00 2022,54 25.8
Sun Sep 11 19:48:10 2022,54 25.8
Sun Sep 11 19:48:20 2022,54 25.8
Sun Sep 11 19:48:30 2022,53 25.8
Sun Sep 11 19:48:40 2022,53 25.8
Sun Sep 11 19:48:50 2022,53 25.8
Sun Sep 11 19:49:00 2022,53 25.8
Sun Sep 11 19:49:10 2022,53 25.8
Sun Sep 11 19:49:20 2022,53 25.8
Sun Sep 11 19:49:30 2022,53 25.8
Sun Sep 11 19:49:40 2022,53 25.6
Sun Sep 11 19:49:50 2022,53 25.4
Sun Sep 11 19:50:00 2022,53 25.5
Sun Sep 11 19:50:10 2022,53 25.5
Sun Sep 11 19:50:20 2022,53 25.7
Sun Sep 11 19:50:30 2022,53 25.6
Sun Sep 11 19:50:40 2022,53 25.3
Sun Sep 11 19:50:50 2022,53 25.3
Sun Sep 11 19:51:00 2022,53 25.3
Sun Sep 11 19:51:10 2022,53 25.3
Sun Sep 11 19:51:20 2022,53 25.3
Sun Sep 11 19:51:30 2022,53 25.3
Sun Sep 11 19:51:40 2022,53 25.6
Sun Sep 11 19:51:50 2022,53 25.8
Sun Sep 11 19:52:00 2022,53 25.8
Sun Sep 11 19:52:10 2022,53 25.7
Sun Sep 11 19:52:20 2022,53 25.4
Sun Sep 11 19:52:30 2022,53 25.3
Sun Sep 11 19:52:40 2022,53 25.3
Sun Sep 11 19:52:50 2022,53 25.3
Sun Sep 11 19:53:00 2022,53 25.3
Sun Sep 11 19:53:10 2022,53 25.3
Sun Sep 11 19:53:20 2022,53 25.3
Sun Sep 11 19:53:30 2022,53 25.7
Sun Sep 11 19:53:40 2022,54 25.5
Sun Sep 11 19:53:50 2022,55 25.8
Sun Sep 11 19:54:00 2022,54 25.8
Sun Sep 11 19:54:10 2022,54 25.8
Sun Sep 11 19:54:20 2022,55 25.8
Sun Sep 11 19:54:30 2022,56 25.8
Sun Sep 11 19:54:40 2022,55 25.8
Sun Sep 11 19:54:50 2022,54 25.8
Sun Sep 11 19:55:00 2022,54 25.8
Sun Sep 11 19:55:10 2022,54 25.8
Sun Sep 11 19:55:20 2022,54 25.8
Sun Sep 11 19:55:30 2022,54 25.8
Sun Sep 11 19:55:40 2022,54 25.8
Sun Sep 11 19:55:50 2022,54 25.8
Sun Sep 11 19:56:00 2022,53 25.8
Sun Sep 11 19:56:10 2022,53 25.8
Sun Sep 11 19:56:20 2022,53 25.8
Sun Sep 11 19:56:30 2022,53 25.8
Sun Sep 11 19:56:40 2022,54 25.8
Sun Sep 11 19:56:50 2022,55 25.8
Sun Sep 11 19:57:00 2022,56 25.8
Sun Sep 11 19:57:10 2022,57 25.8
Sun Sep 11 19:57:20 2022,58 25.8
Sun Sep 11 19:57:30 2022,58 25.8
Sun Sep 11 19:57:40 2022,57 25.8
Sun Sep 11 19:57:50 2022,57 25.8
Sun Sep 11 19:58:00 2022,56 25.8
Sun Sep 11 19:58:10 2022,55 25.8
Sun Sep 11 19:58:20 2022,54 25.8
Sun Sep 11 19:58:30 2022,54 25.8
Sun Sep 11 19:58:40 2022,54 25.8
Sun Sep 11 19:58:50 2022,54 25.8
Sun Sep 11 19:59:00 2022,53 25.8
Sun Sep 11 19:59:10 2022,54 25.8
Sun Sep 11 19:59:20 2022,54 25.8
Sun Sep 11 19:59:30 2022,54 25.8
